id,name,project_id1,project_id2,curated_description,num_of_samples,num_of_runs,population,related_publications,original_description,created_at,updated_at
14,PRJEB1786,PRJEB1786,ERP002469,NULL,145,147,0,23719380,"Type 2 diabetes (T2D) is a result of complex gene-environment interactions, and several risk factors have been identified, including age, family history, diet, sedentary lifestyle and obesity. Statistical models that combine known risk factors for T2D can partly identify individuals at high risk of developing the disease. However, these studies have so far indicated that human genetics contributes little to the models, whereas socio-demographic and environmental factors have greater influence. Recent evidence suggests the importance of the gut microbiota as an environmental factor, and an altered gut microbiota has been linked to metabolic diseases including obesity, diabetes and cardiovascular disease. Here we use shotgun sequencing to characterize the faecal metagenome of 145 European women with normal, impaired or diabetic glucose control. We observe compositional and functional alterations in the metagenomes of women with T2D, and develop a mathematical model based on metagenomic profiles that identified T2D with high accuracy. We applied this model to women with impaired glucose tolerance, and show that it can identify women who have a diabetes-like metabolism. Furthermore, glucose control and medication were unlikely to have major confounding effects. We also applied our model to a recently described Chinese cohort and show that the discriminant metagenomic markers for T2D differ between the European and Chinese cohorts. Therefore, metagenomic predictive tools for T2D should be specific for the age and geographical location of the populations studied.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
15,PRJEB19090,PRJEB19090,ERP021080,NULL,15,38,0,"2,870,947,227,671,350","Gut microbiome research is rapidly moving towards the functional characterization of the microbiota by means of shotgun meta-omics. Here, we selected a cohort of healthy subjects from an indigenous and monitored Sardinian population to analyze their gut microbiota using both shotgun metagenomics and shotgun metaproteomics. We found a considerable divergence between genetic potential and functional activity of the human healthy gut microbiota, in spite of a quite comparable taxonomic structure revealed by the two approaches. Investigation of inter-individual variability of taxonomic features revealed Bacteroides and Akkermansia as remarkably conserved and variable in abundance within the population, respectively. Firmicutes-driven butyrogenesis (mainly due to Faecalibacterium spp.) was shown to be the functional activity with the higher expression rate and the lower inter-individual variability in the study cohort, highlighting the key importance of the biosynthesis of this microbial by-product for the gut homeostasis. The taxon-specific contribution to functional activities and metabolic tasks was also examined, giving insights into the peculiar role of several gut microbiota members in carbohydrate metabolism (including polysaccharide degradation, glycan transport, glycolysis and short-chain fatty acid production). In conclusion, our results provide useful indications regarding the main functions actively exerted by the gut microbiota members of a healthy human cohort, and support metaproteomics as a valuable approach to investigate the functional role of the gut microbiota in health and disease.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
16,PRJEB19367,PRJEB19367,ERP021378,NULL,28,28,0,NULL,Analysis of stool samples from sickle cell disease patients and healthy controls,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
17,PRJEB2054,PRJEB2054,ERP000108,NULL,123,246,0,20203603,A human gut microbial gene catalog established by deep metagenomic sequencing,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
18,PRJEB23052,PRJEB23052,ERP104786,NULL,74,74,0,30701194,"The composition of the gut microbiota has been linked to many central nervoussystem disorders, including neuropsychiatric disorders such as autism spectrumdisorders (ASDs). Several studies have shown that changes in the microbiomemay contribute to the symptoms of ASD, and a recently published study showedthat fecal microbiota transfer therapy significantly improved autism symptoms.We performed shotgun metagenome sequencing of ASD patients (n = 43) and TD children (n = 31).",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
19,PRJEB23207,PRJEB23207,ERP104944,NULL,14,14,0,29468143,"The human intestinal microbiota is a homeostatic ecosystem with a remarkable impact on human health and the disruption of this equilibrium leads to an increased susceptibility to infection by numerous pathogens. In this study, we used shotgun metagenomic sequencing and two different bioinformatics approaches, to investigate possible changes in the composition of the intestinal microbiota in samples from patients with STEC infection compared to healthy and healed controls, collected during an outbreak caused by a STEC O26:H11 infection. Regardless of the bioinformatic procedure used, a good resolution of the taxonomic profiles of the samples was achieved. The faeces collected from the STEC infected patients showed a lower intestinal abundance of the beneficial microorganisms Bifidobacterium and Clostridiales spp. in comparison to controls where those microorganisms predominated. These differences were observed with both bioinformatic approaches used and seemed to be related with the STEC infection although the variation in the relative abundance of the members of the Bifidobacterium genus could have also been associated with the dysbiotic status following the diarrhoea.Finally, the metagenomic sequencing allowed to identify in the STEC positive samples, all the virulence traits present in the genomes of the STEC O26 that caused the outbreak. The results shown represent a first evidence of the changes occurring in the intestinal microbiota of children in the course of STEC infection and indicate that metagenomics may be a promising tool for the culture-independent clinical diagnosis of the infection.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
20,PRJEB4313,PRJEB4313,ERP003588,NA,3,3,0,NULL,Differences in gut microbiota in CeD patient before and after GFD. The study was aimed at identifying the effect of gluten free diet (GFD) in Celiac disease patient after 6 months of GFD. In this longitudinal study we collected stool sample at two time points before staring GFD and six months after GFD. We observed variation in gut microbal communities. The pathogenic bacteria were not detected at GFD stage. Bifidobacterium has increased 100 fold,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
21,PRJEB4335,PRJEB4335,ERP003611,NA,58,58,0,NULL,"We compared the bacteria in fecal samples of individuals with chronic HIV infection (n=16), acute HIV infection (n=3), and a HIV negative control population (n=12) and before and after antiretroviral therapy.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
22,PRJEB4336,PRJEB4336,ERP003612,NA,292,595,0,23985870,"Richness of human gut microbiome correlates with metabolic markers.We are facing a global metabolic health crisis provoked by an obesity epidemic. Here we report the human gut microbial composition in a population sample of 123 non-obese and 169 obese Danish individuals. We find two groups of individuals that differ by the number of gut microbial genes and thus gut bacterial richness. They harbour known and previously unknown bacterial species at different proportions; individuals with a low bacterial richness (23% of the population) are characterized by more marked overall adiposity, insulin resistance and dyslipidaemia and a more pronounced inflammatory phenotype when compared with high bacterial richness individuals. The obese individuals among the former also gain more weight over time. Only a few bacterial species are sufficient to distinguish between individuals with high and low bacterial richness, and even between lean and obese. Our classifications based on variation in the gut microbiome identify subsets of individuals in the general white adult population who may be at increased risk of progressing to adiposity-associated co-morbidities.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
23,PRJEB4927,PRJEB4927,ERP004264,NA,148,148,0,25476529,Alterations of the Fecal Microbiome in Parkinson's Disease,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
24,PRJEB6070,PRJEB6070,ERP005534,NULL,328,1419,0,25432777,"Several bacterial species have been implicated in the development of colorectal carcinoma (CRC), but CRC-associated changes of fecal microbiota and their potential for cancer screening remain to be explored. Here we used metagenomic sequencing of fecal samples to identify taxonomic markers that distinguished CRC patients from tumor-free controls in a study population of 156 participants. Accuracy of metagenomic CRC detection was similar to the standard fecal occult blood test (FOBT) and when both approaches were combined, sensitivity improved >45% relative to the FOBT while maintaining its specificity. Accuracy of metagenomic CRC detection did not differ significantly between early and late-stage cancer and could be validated in independent patient and control populations (N=335) from different countries. CRC-associated changes in the fecal microbiome at least partially reflected microbial community composition at the tumor itself, indicating that observed gene pool differences may reveal tumor-related host-microbe interactions. Indeed, we deduced a metabolic shift from fiber degradation in controls to utilization of host carbohydrates and amino acids in CRC patients accompanied by an increase of lipopolysaccharide metabolism. ",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
25,PRJEB6092,PRJEB6092,ERP005558,NULL,24,24,0,NULL,"Two diets, Korean and Western diet. Each 6 individuals, half of which lost a lot of weight and half of which lost little weight. Fecal samples taken before and after diet (3 months).",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
26,PRJEB6456,PRJEB6456 ,ERP005989,NULL,400,400,0,25974306,"The gastrointestinal tracts of mammalians are sterile in utero and colonized by microorganisms immediately after delivery. The subsequent development of the infant gut microbiota involves a complex succession of microbes, driven by factors such as gestational age, mode of delivery, antibiotic use, hygiene, geographical zone and type of feeding.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
27,PRJEB7331,PRJEB7331,ERP007044,NULL,24,24,0,NULL,metagenomic analysis of human gut microbiome,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
28,PRJEB7949,PRJEB7949,ERP008951,NULL,40,40,0,NULL,"Ten IBD and 10 healthy individual's fecal microbiomes were determined by NGS sequencing, to identify features that are unique to each group. This was done using shot-gun metagenomics of DNA extracted from fecal samples and run on a HiSeq 2500.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
29,PRJEB8094,PRJEB8094,ERP009131,NULL,72,1252,0,"2,749,408,826,359,910",The initial state of the human gut microbiome determines its reshaping by antibiotics,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
30,PRJEB8201,PRJEB8201,ERP009244,NULL,2,2,0,NULL,"Cultural traditions, diet, and lifestyles of ethnic groups living in different geographic locations can serve as a source of variability in human gut microbiota. To examine the differences in gut microbiome of geographically distinct populations, we have carried out phylogenetic, functional, and metabolite analyses of the distal gut microbiota of healthy adolescents from United States and Egypt using next generation high-throughput sequencing.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
31,PRJNA168470,PRJNA168470,SRP017161,NA,40,40,0,NULL,"Unusually high proportions of autistic children suffer from gastrointestinal problems, suggesting a link between autism and abnormalities in gut microbial function. Disturbances in gut microbial ecosystems not only cause gastrointestinal problems that can exacerbate autistic symptoms, but may also affect the immune and neurological systems. Previous studies have focused primarily on the autism-related presence of pathogenic bacteria. Hence, we investigated autism-related alteration of intestinal bacterial composition by comparing non-autistic and autistic children with or without gastrointestinal symptoms. Interestingly, autistic children tend to have less diverse bacterial communities in their intestines, regardless of noticeable gastrointestinal symptoms. In addition, extensive bioinformatics and statistical analyses discovered that the genus Prevotella was mostly absent in autistic children, which in contrast was found in a large fraction of non-autistic children. Intriguingly, these microbes are known to function as a primary degrader of polysaccharides in gut, suggesting a possible influence of daily diets. In addition, Prevotella was recently reported as a central component of gut microbial communities in humans. Therefore, our findings suggest that the less diverse and imbalanced gut microbial profiles of autistic children make them more susceptible to frequent gastrointestinal disorders.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
32,PRJNA177201,PRJNA177201,ERP104075,NULL,27,27,0,23212374,The gut metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA177201. This project includes samples from the following biomes : Human gut.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
33,PRJNA188481,PRJNA188481,SRP019038,NULL,8,8,0,24843156,Linking Lifestyle to the Oral and Gut Microbiota in a Large Prospective Cohort.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
34,PRJNA213803,PRJNA213803,SRP028362,NULL,93,93,0,24083370,"BACKGROUND: &#10;Elucidating gut microbiota among gallstone patients as well as the complex bacterial colonization of cholesterol gallstones may help in both the prediction and subsequent lowered risk of cholelithiasis. To this end, we studied the composition of bacterial communities of gut, bile, and gallstones from 29 gallstone patients as well as the gut of 38 normal individuals, examining and analyzing some 299, 217 bacterial 16S rRNA gene sequences from 120 samples.&#10;RESULTS: &#10;First, as compared with normal individuals, in gallstone patients there were significant (P < 0.001) increases of gut bacterial phylum Proteobacteria and decreases of three gut bacterial genera, Faecalibacterium, Lachnospira, and Roseburia. Second, about 70% of gut bacterial operational taxonomic units (OTUs) from gallstone patients were detectable in the biliary tract and bacteria diversity of biliary tract was significantly (P < 0.001) higher than that of gut. Third, analysis of the biliary tract core microbiome (represented by 106 bacteria OTUs) among gallstone patients showed that 33.96% (36/106) of constituents can be matched to known bacterial species (15 of which have publicly available genomes). A genome-wide search of MDR, BSH, bG, and phL genes purpotedly associated with the formation of cholesterol gallstones showed that all 15 species with known genomes (e.g., Propionibacterium acnes, Bacteroides vulgates, and Pseudomonas putida) contained at least contained one of the four genes. This finding could potentially provide underlying information needed to explain the association between biliary tract microbiota and the formation of cholesterol gallstones.&#10;CONCLUSIONS: &#10;To the best of our knowledge, this is the first study to discover gut microbiota dysbiosis among gallstone patients, the presence of which may be a key contributor to the complex bacteria community assembly linked with the presence of cholesterol gallstones. Likewise, this study also provides the first large-scale glimpse of biliary tract microbiota potentially associated with cholesterol gallstones. Such a characterization of the biliary tract core microbiome has potentially important biological and medical implications regarding the role of bacteria in the formation cholesterol gallstones",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
35,PRJNA215106,PRJNA215106,ERP104044,NULL,22,169,0,24236055,"Functional metagenomic selections were performed from various pediatric fecal metagenomes, enriched for children in the first two years of life. A major goal was to understand how antibiotic resistance genes establish and propagate among developing intestinal microbiomes. Fecal metagenomic DNA was cloned into an E. coli library and subjected to selections for antibiotic resistance. After selection, resistance-conferring fragments (the only fragments conferring survival to E. coli in the presence of the drugs) were PCR-amplified, sequenced, and assembled.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
36,PRJNA221723,PRJNA221723,SRP033353,NULL,2,2,0,24468033,"BACKGROUND: &#10;The source inoculum of gastrointestinal tract (GIT) microbes is largely influenced by delivery mode in full-term infants, but these influences may be decoupled in very low birth weight (VLBW, <1,500 g) neonates via conventional broad-spectrum antibiotic treatment. We hypothesize the built environment (BE), specifically room surfaces frequently touched by humans, is a predominant source of colonizing microbes in the gut of premature VLBW infants. Here, we present the first matched fecal-BE time series analysis of two preterm VLBW neonates housed in a neonatal intensive care unit (NICU) over the first month of life.&#10;RESULTS: &#10;Fresh fecal samples were collected every 3 days and metagenomes sequenced on an Illumina HiSeq2000 device. For each fecal sample, approximately 33 swabs were collected from each NICU room from 6 specified areas: sink, feeding and intubation tubing, hands of healthcare providers and parents, general surfaces, and nurse station electronics (keyboard, mouse, and cell phone). Swabs were processed using a recently developed 'expectation maximization iterative reconstruction of genes from the environment' (EMIRGE) amplicon pipeline in which full-length 16S rRNA amplicons were sheared and sequenced using an Illumina platform, and short reads reassembled into full-length genes. Over 24,000 full-length 16S rRNA sequences were produced, generating an average of approximately 12,000 operational taxonomic units (OTUs) (clustered at 97% nucleotide identity) per room-infant pair. Dominant gut taxa, including Staphylococcus epidermidis, Klebsiella pneumoniae, Bacteroides fragilis, and Escherichia coli, were widely distributed throughout the room environment with many gut colonizers detected in more than half of samples. Reconstructed genomes from infant gut colonizers revealed a suite of genes that confer resistance to antibiotics (for example, tetracycline, fluoroquinolone, and aminoglycoside) and sterilizing agents, which likely offer a competitive advantage in the NICU environment.&#10;CONCLUSIONS: &#10;We have developed a high-throughput culture-independent approach that integrates room surveys based on full-length 16S rRNA gene sequences with metagenomic analysis of fecal samples collected from infants in the room. The approach enabled identification of discrete ICU reservoirs of microbes that also colonized the infant gut and provided evidence for the presence of certain organisms in the room prior to their detection in the gut.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
37,PRJNA227062,PRJNA227062,SRP033311,NULL,32,32,0,24399150,"Human immunodeficiency virus-1 (HIV-1) infection disrupts the intestinal immune system, leading to microbial translocation and systemic immune activation. We investigated the impact of HIV-1 infection on the intestinal microbiome and its association with mucosal T-cell and dendritic cell (DC) frequency and activation, as well as with levels of systemic T-cell activation, inflammation, and microbial translocation. Bacterial 16S ribosomal DNA sequencing was performed on colon biopsies and fecal samples from subjects with chronic, untreated HIV-1 infection and uninfected control subjects. Colon biopsies of HIV-1-infected subjects had increased abundances of Proteobacteria and decreased abundances of Firmicutes compared with uninfected donors. Furthermore at the genus level, a significant increase in Prevotella and decrease in Bacteroides was observed in HIV-1-infected subjects, indicating a disruption in the Bacteroidetes bacterial community structure. This HIV-1-associated increase in Prevotella abundance was associated with increased numbers of activated colonic T cells and myeloid DCs. Principal coordinates analysis demonstrated an HIV-1-related change in the microbiome that was associated with increased mucosal cellular immune activation, microbial translocation, and blood T-cell activation. These observations suggest that an important relationship exists between altered mucosal bacterial communities and intestinal inflammation during chronic HIV-1 infection.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
38,PRJNA232056,PRJNA232056,SRP034595,NA,68,68,0,NULL,"Inflammatory bowel disease (IBD) comprises two main subtypes, Crohnâ__s disease (CD) and ulcerative colitis (UC). While previous studies have highlighted the importance of the host innate immune response to bacteria and shown us that multiple pathways are involved in the pathogenesis of IBD, we remain surprisingly ignorant on the root cause(s) and pathogenesis of IBD. In this study, we recruited newly diagnosed children with IBD prior to the initiation of treatment and employed a novel sampling approach to collect and characterize the microbiota at the intestinal mucosal interface. The main objective of this study is to characterize the contribution of the gut microbiota to pediatric inflammatory bowel disease.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
39,PRJNA233411,PRJNA233411,SRP034948,NA,12,12,0,NULL,Stool and mucosal biopsy samples were collected from three pediatric Ulcerative Colitis subjects prior to and two weeks following the cessation of fecal transplant therapy. This data set contains 16S rRNA gene libraries from these specimens.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
40,PRJNA233597,PRJNA233597,SRP039076,NA,36,36,0,NULL,16S pyrosequencing of human intestinal microbiome of both HIV infected patients and non-infected controls.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
41,PRJNA234437,PRJNA234437,SRP042023,NA,1016,1049,0,26296559,16S rRNA gene survey of diarrheal stool from children under 5 and matched controls.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
42,PRJNA235337,PRJNA235337,SRP041262,NULL,10,10,0,24936765,"Delineating differences in gut microbiomes of human and animal hosts contributes towards understanding human health and enables new strategies for detecting reservoirs of waterborne human pathogens. We focused upon Blautia, a single microbial genus that is important for nutrient assimilation as preliminary work suggested host-related patterns within members of this genus. In our dataset of 57â__ sequence reads of the V6 region of the 16S ribosomal RNA gene in samples collected from seven host species, we identified 200 high-resolution taxonomic units within Blautia using oligotyping. Our analysis revealed 13 host-specific oligotypes that occurred exclusively in fecal samples of humans (three oligotypes), swine (six oligotypes), cows (one oligotype), deer (one oligotype), or chickens (two oligotypes). We identified an additional 171 oligotypes that exhibited differential abundance patterns among all the host species. Blautia oligotypes in the human population obtained from sewage and fecal samples displayed remarkable continuity. Oligotypes from only 10 Brazilian human fecal samples collected from individuals in a rural village encompassed 97% of all Blautia oligotypes found in a Brazilian sewage sample from a city of three million people. Further, 75% of the oligotypes in Brazilian human fecal samples matched those in US sewage samples, implying that a universal set of Blautia strains may be shared among culturally and geographically distinct human populations. Such strains can serve as universal markers to assess human fecal contamination in environmental samples. Our results indicate that host-specificity and host-preference patterns of organisms within this genus are driven by host physiology more than dietary habits.",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
43,PRJNA237362,PRJNA237362,SRP040765,NA,286,1020,0,24629344,Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ__s Disease.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
44,PRJNA238486,PRJNA238486,SRP039355,NULL,26,26,0,"2,485,556,123,333,860","Fecal microbiota transplantation (FMT) is becoming a more widely used technology for treatment of recurrent Clostridum difficile infection (CDI). While previous treatments used fresh fecal slurries as a source of microbiota for FMT, we recently reported the successful use of standardized, partially purified and frozen fecal microbiota to treat CDI. Here we report that high-throughput 16S rRNA gene sequencing showed stable engraftment of gut microbiota following FMT using frozen fecal bacteria from a healthy donor. Similar bacterial taxa were found in post-transplantation samples obtained from the recipients and donor samples, but the relative abundance varied considerably between patients and time points. Post FMT samples from patients showed an increase in the abundance of Firmicutes and Bacteroidetes, representing 75-80% of the total sequence reads. Proteobacteria and Actinobacteria were less abundant (< 5%) than that found in patients prior to FMT. Post FMT samples from two patients were very similar to donor samples, with the Bacteroidetes phylum represented by a great abundance of members of the families Bacteroidaceae, Rikenellaceae and Porphyromonadaceae, and were largely comprised of Bacteroides, Alistipes and Parabacteroides genera. Members of the phylum Firmicutes were represented by Ruminococcaceae, Lachnospiraceae, Verrucomicrobiaceae and unclassified Clostridiales and members of the Firmicutes. One patient subsequently received antibiotics for an unrelated infection, resulting in an increase in the number of intestinal Proteobacteria, primarily Enterobacteriaceae. Our results demonstrate that frozen fecal microbiota from a healthy donor can be used to effectively treat recurrent CDI resulting in restoration of the structure of gut microbiota and clearing of Clostridum difficile",2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
45,PRJNA240346,PRJNA240346,SRP039530,NA,47,47,0,NULL,We compared and analyzed the alternation of the mucosal bacterial communities between health people and IBD patients.,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
46,PRJNA240658,PRJNA240658,SRP039586,NA,21,21,0,NULL,Luminal and mucosal-associated gut microbiota in patients with Crohn's disease,2021-01-21 12:15:08 UTC,2021-01-21 12:15:08 UTC
